"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,questionnaire,,text,"Record ID",,,,,,,,,,,,,
introduction,questionnaire,,descriptive,"Dear Participant, 
Thank you very much for taking part in this survey that is part of the CLEARER study (Current cLinical scEnARios for the use of cefidErocol in multidrug-Resistant infections: a case study-based approach) supported by GARDP. We aim at investigating how cefiderocol is used or may be used at your institution. We also ask for some details related to the characteristics of your hospital and the antimicrobial resistance patterns that you often see.  
If you don't know the answers, or cannot retrieve the information, you can leave the space blank.
The survey is anonymous; however, if you would like to be involved in the CLEARER working group-related publication, please leave your name and email address in the boxes below. ",,,,,,,,,,,,,
working_group,questionnaire,,yesno,"Would you like to be part of the CLEARER working group related publication?",,,,,,,,,,,,,
emailcontact,questionnaire,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please contact us to let us know that you would like to be part of the working group at the following email: </span>elda.righi@univr.it</p></div>",,,,,,,"[working_group] = '1'",,,,,,
country,questionnaire,General/demographics,dropdown,"<div class=""rich-text-field-label""><p>Where do you currently live or work?<br /><br /><span style=""font-weight: normal;"">(Choose ""Rather not say"" if needed)</span></p></div>","0, Rather not say | 1, Afghanistan | 2, Albania | 3, Algeria | 4, American Samoa | 5, Andorra | 6, Angola | 7, Antigua and Barbuda | 8, Argentina | 9, Armenia | 10, Aruba | 11, Australia | 12, Austria | 13, Azerbaijan | 14, Bahamas, The | 15, Bahrain | 16, Bangladesh | 17, Barbados | 18, Belarus | 19, Belgium | 20, Belize | 21, Benin | 22, Bermuda | 23, Bhutan | 24, Bolivia | 25, Bosnia and Herzegovina | 26, Botswana | 27, Brazil | 28, Brunei | 29, Bulgaria | 30, Burkina Faso | 31, Burundi | 32, Cabo Verde (Cape Verde) | 33, Cambodia | 34, Cameroon | 35, Canada | 36, Cayman Islands | 37, Central African Republic | 38, Chad | 39, Chile | 40, China | 41, Colombia | 42, Comoros | 43, Congo, Democratic Republic of the | 44, Congo, Republic of the | 45, Costa Rica | 46, Côte d'Ivoire | 47, Croatia | 48, Cuba | 49, Curaçao | 50, Cyprus | 51, Czech Republic | 52, Denmark | 53, Djibouti | 54, Dominica | 55, Dominican Republic | 56, East Timor | 57, Ecuador | 58, Egypt | 59, El Salvador | 60, Equatorial Guinea | 61, Eritrea | 62, Estonia | 63, Eswatini (Swaziland) | 64, Ethiopia | 65, Faroe Islands | 66, Fiji | 67, Finland | 68, France | 69, French Guiana | 70, French Polynesia | 71, Gabon | 72, Gambia, The | 73, Gaza Strip | 74, Georgia | 75, Germany | 76, Ghana | 77, Greece | 78, Greenland | 79, Grenada | 80, Guadeloupe | 81, Guam | 82, Guatemala | 83, Guernsey | 84, Guinea | 85, Guinea-Bissau | 86, Guyana | 87, Haiti | 88, Honduras | 89, Hong Kong | 90, Hungary | 91, Iceland | 92, India | 93, Indonesia | 94, Iran | 95, Iraq | 96, Ireland | 97, Isle of Man | 98, Israel | 99, Italy | 100, Jamaica | 101, Japan | 102, Jersey | 103, Jordan | 104, Kazakhstan | 105, Kenya | 106, Kiribati | 107, Korea, North | 108, Korea, South | 109, Kosovo | 110, Kuwait | 111, Kyrgyzstan | 112, Laos | 113, Latvia | 114, Lebanon | 115, Lesotho | 116, Liberia | 117, Libya | 118, Liechtenstein | 119, Lithuania | 120, Luxembourg | 121, Macau | 122, Madagascar | 123, Malawi | 124, Malaysia | 125, Maldives | 126, Mali | 127, Malta | 128, Marshall Islands | 129, Martinique | 130, Mauritania | 131, Mauritius | 132, Mayotte | 133, Mexico | 134, Micronesia | 135, Moldova | 136, Monaco | 137, Mongolia | 138, Montenegro | 139, Morocco | 140, Mozambique | 141, Myanmar (Burma) | 142, Namibia | 143, Nauru | 144, Nepal | 145, Netherlands | 146, New Caledonia | 147, New Zealand | 148, Nicaragua | 149, Niger | 150, Nigeria | 151, North Macedonia | 152, Northern Mariana Islands | 153, Norway | 154, Oman | 155, Pakistan | 156, Palau | 157, Panama | 158, Papua New Guinea | 159, Paraguay | 160, Peru | 161, Philippines | 162, Poland | 163, Portugal | 164, Puerto Rico | 165, Qatar | 166, Réunion | 167, Romania | 168, Russia | 169, Rwanda | 170, Saint Kitts and Nevis | 171, Saint Lucia | 172, Saint Vincent and the Grenadines | 173, Samoa | 174, San Marino | 175, Sao Tome and Principe | 176, Saudi Arabia | 177, Senegal | 178, Serbia | 179, Seychelles | 180, Sierra Leone | 181, Singapore | 182, Sint Maarten | 183, Slovakia | 184, Slovenia | 185, Solomon Islands | 186, Somalia | 187, South Africa | 188, South Sudan | 189, Spain | 190, Sri Lanka | 191, Sudan | 192, Suriname | 193, Sweden | 194, Switzerland | 195, Syria | 196, Taiwan | 197, Tajikistan | 198, Tanzania | 199, Thailand | 200, Togo | 201, Tonga | 202, Trinidad and Tobago | 203, Tunisia | 204, Turkey | 205, Turkmenistan | 206, Tuvalu | 207, Uganda | 208, Ukraine | 209, United Arab Emirates | 210, United Kingdom | 211, United States | 212, United States Virgin Islands | 213, Uruguay | 214, Uzbekistan | 215, Vanuatu | 216, Vatican City | 217, Venezuela | 218, Vietnam | 219, West Bank | 220, Yemen | 221, Zambia | 222, Zimbabwe",,,,,,,y,,,,,
city,questionnaire,,text,City,,,,,,,[country]<>0,,RH,,,,
specialization,questionnaire,,radio,"Please indicate your field of specialization","1, Infectious Diseases specialist | 2, Internal Medicine physician | 3, Clinical Microbiologist | 4, Clinical Pharmacist | 5, Intensivist | 6, Other",,,,,,,y,,,,,
specialization_other,questionnaire,,text,"If other, please specify",,,,,,,[specialization]=6,y,,,,,
mainrole,questionnaire,,yesno,"Are you a prescriber? ",,,,,,,,,RH,,,,
experience,questionnaire,,radio,"Please indicate the years of activity you have been involved in Infectious Diseases or related fields","1, 1-5 | 2, 6-10 | 3, 11-15 | 4, 16-20 | 5, 21 or above | 7, Not directly involved | 8, Not involved anymore",,,,,,,,,,,,
